id_hos,name,address,dcode,dname,tel,url,num_bed,belong,type,lat,lng
11482,โรงพยาบาลภูมิพลอดุลยเดช,171 ถนนพหลโยธิน แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10220,1042,สายไหม,0 2543 7243,www.bhumibolhospital.rtaf.mi.th,774,กระทรวงกลาโหม,โรงพยาบาล นอก สธ.,13.9090645,100.6182845
12439,สถาบันประสาทวิทยา,312 ถนนราชวิถี แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,1037,ราชเทวี,0 2306 9899,www.pni.go.th,300,กระทรวงสาธารณสุข กรมการแพทย์,โรงพยาบาล นอก สป.สธ.,13.76891885,100.5273255
11481,โรงพยาบาลพระมงกุฎเกล้า,315 ถนนราชวิถี แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,1037,ราชเทวี,0 2763 9300,www.pmk.ac.th,1236,กระทรวงกลาโหม,โรงพยาบาล นอก สธ.,13.76785111,100.5347723
11472,โรงพยาบาลราชวิถี,2 ถนนราชวิถี แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,1037,ราชเทวี,0 2354 8108 -37 ต่อ 3037,www.rajavithi.go.th,909,กระทรวงสาธารณสุข กรมการแพทย์,โรงพยาบาล นอก สป.สธ.,13.76425896,100.5367927
11471,โรงพยาบาลสงฆ์,445 ถนนศรีอยุธยา แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,1037,ราชเทวี,0 2640 9537,www.priest-hospital.go.th,937,กระทรวงสาธารณสุข กรมการแพทย์,โรงพยาบาล นอก สป.สธ.,13.76200836,100.526587
12246,สถาบันราชานุกูล,4737 ถนนดินแดง แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10320,1026,ดินแดง,0 2248 8900,www.rajanukul.go.th,260,กระทรวงสาธารณสุข กรมสุขภาพจิต,โรงพยาบาล นอก สป.สธ.,13.76135419,100.5545845
11534,โรงพยาบาลบุรฉัตรไชยากร (รถไฟ),700 ถนนนิคมมักกะสัน แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400,1037,ราชเทวี,0 2251 2042,www.kannikamee18.wordpress.com,120,กระทรวงคมนาคม,โรงพยาบาล นอก สธ.,13.75201707,100.5516563
14173,โรงพยาบาลตำรวจ,492/1 ถนนพระรามที่ 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,1007,ปทุมวัน,0 2252 8111 -25,www.policehospital.org,736,สำนักนายกรัฐมนตรี,โรงพยาบาล นอก สธ.,13.74376935,100.5393036
13756,โรงพยาบาลจุฬาลงกรณ์ สภากาชาดไทย,1873 ถนนพระรามที่ 4 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,1007,ปทุมวัน,0 2564 0000,www.chulalongkornhospital.go.th,1433,หน่วยงานอิสระ,โรงพยาบาล นอก สธ.,13.73092972,100.5355674
12244,สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา,112 ถนนสมเด็จเจ้าพระยา แขวงคลองสาน เขตคลองสาน กรุงเทพฯ 10600,1018,คลองสาน,0 2442 2500,www.somdet.go.th,500,กระทรวงสาธารณสุข กรมสุขภาพจิต,โรงพยาบาล นอก สป.สธ.,13.73082861,100.5050164
11469,โรงพยาบาลเลิดสิน,190 ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,1004,บางรัก,0 2353 9799,www.lerdsin.go.th,528,กระทรวงสาธารณสุข กรมการแพทย์,โรงพยาบาล นอก สป.สธ.,13.72206537,100.5174983
11532,โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา,184 ถนนพระรามที่ 4 แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,1033,คลองเตย,0 2229 1000,www.thaitobacco.or.th,82,กระทรวงการคลัง,โรงพยาบาล นอก สธ.,13.72483961,100.5539739
11470,โรงพยาบาลนพรัตน์ราชธานี,679 ถนนรามอินทรา (กม.ที่ 10) แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10240,1043,คันนายาว,0 2517 4270 -9,www.nopparat.go.th,510,กระทรวงสาธารณสุข กรมการแพทย์,โรงพยาบาล นอก สป.สธ.,13.81691366,100.6879781
