"id_9","id_5","dcode","name","name_eng","address","bed_54","bed_55","bed_56","bed_57","bed_58","bed_59","bed_60","bed_61","out_patients51","in_patients51","out_patients52","in_patients52","out_patients53","in_patients53","out_patients54","in_patients54","out_patients55","in_patients55","out_patients56","in_patients56","out_patients57","in_patients57","out_patients58","in_patients58","out_patients59","in_patients59","out_patients60","in_patients60","out_patients61","in_patients61"
"001154100","11541","1031","โรงพยาบาลเจริญกรุงประชารักษ์","Charoen Krung Pracharak","8 ถนนเจริญกรุง เขตบางคอแหลม กรุงเทพมหานคร 10120","427","402","402","408","408","434","434","434","566631","20324","618145","21453","668379","22657","715289","21386","691768","20062","602080","16608","640438","15615","768409","21132","780026","20848","743879","19734","743854","20710"
"001153700","11537","1008","โรงพยาบาลกลาง","Bangkok Metropolitan Administration General","514 ถนนหลวง เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100","412","412","415","455","446","452","475","475","489150","15657","511416","15257","527599","16456","594398","18231","598603","16964","624882","17946","707005","19492","655320","16355","654305","16082","655100","15426","681995","16637"
"001153900","11539","1018","โรงพยาบาลตากสิน","Taksin","543 ถนนสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร 10600","402","430","430","461","461","473","473","473","499787","21054","545452","20746","558261","20531","558094","18762","514690","17567","716363","20229","720888","20221","713909","19811","755730","20147","734525","19653","770257","20306"
"001504900","15049","1032","โรงพยาบาลสิรินธร","Sirindhorn","20 ซอยอ่อนนุช 90 เขตประเวศ กรุงเทพมหานคร 10250","243","226","230","230","243","228","242","324","231022","11770","265414","13345","348777","18270","349718","17215","337886","18555","378320","18143","384489","17259","413554","17280","452915","16802","469425","15518","554520","17852"
"001464100","14641","1040","โรงพยาบาลราชพิพัฒน์","Ratchaphiphat","18 ถนนพุทธมณฑลสาย 3 ซอย 10 แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160","132","132","132","135","136","151","151","162","149230","6408","160758","6505","187235","7855","244510","9895","244223","8619","273523","9411","297424","9655","317148","9421","309508","10311","319425","10745","341451","11373"
"001154000","11540","1023","โรงพยาบาลหลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ","Venerable Thawisak Jutindharo","6 ซอยหนองแขม - วัดศรีนวล 1 เขตหนองแขม กรุงเทพมหานคร 10160","100","100","100","118","120","126","126","126","121433","4365","126441","3971","140159","4506","236434","5160","271499","4831","259683","4756","331241","4495","343680","4541","380812","4493","373528","4945","365690","5049"
"001153600","11536","1003","โรงพยาบาลเวชการุณย์รัศมิ์","Wetchakarunrat","48 หมู่ 2 ถนนเลียบวารี แขวงกระทุ่มราย เขตหนองจอก กรุงเทพมหานคร 10530","76","76","76","76","106","106","106","106","145660","4246","156963","4735","177198","4862","190213","4546","200215","3771","200556","3875","213467","3829","219742","3950","254720","4790","264784","5176","270583","4988"
"001153800","11538","1011","โรงพยาบาลลาดกระบังกรุงเทพมหานคร","Bangkok Metropolitan Administration Lat Krabang","2 ซอยลาดกระบัง 15 ถนนอ่อนนุช - ลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520","60","60","60","60","60","60","60","60","147178","4661","145028","4396","147412","3287","142619","3426","166425","3224","173339","3849","217037","3901","201485","3548","220691","3764","224260","3588","218091","3690"
"002506000","25060","1021","โรงพยาบาลผู้สูงอายุบางขุนเทียน","Bangkhunthian Geriatric","1075/1 ถนนบางขุนเทียน - ชายทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3725","0","10518","0","15261","0","28401","0","35744","0","57754","0"
"004152200","41522","1046","โรงพยาบาลคลองสามวา",,"22/3 ถนน ไมตรีจิต แขวง สามวาตะวันออก เขตคลองสามวา กรุงเทพมหานคร 10510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","141","0","10389","0"
